Season,Player,Number,Position,College
1969,Larry Walton,49,WR,Arizona St.
1969,Bill Swain,51,LB,Oregon
1969,Bill Cottrell,52,C,Delaware Valley
1969,Mike Lucci,53,MLB,"Pittsburgh , Tennessee"
1969,Ed Flanagan,54,C,Purdue
1969,Wayne Walker,55,RLB,Idaho
1969,Paul Naumoff,58,LLB,Tennessee
1969,Ed Mooney,62,LB,Texas Tech
1969,Chuck Walton,63,LG,Iowa St.
1969,Bob Kowalkowski,66,G,Virginia
1969,Rocky Rasley,67,G,Oregon St.
1969,Frank Gallagher,68,RG,North Carolina
1969,Denis Moore,70,RDT,USC
1969,Alex Karras,71,LDT,Iowa
1969,Dan Goich,72,DT,California
1969,Roger Shoals,73,LT,Maryland
1969,Larry Hand,74,RDE,Appalachian St.
1969,Jim Yarbrough,75,T,Florida
1969,Rocky Freitas,76,RT,Oregon St.
1969,Bill Malinchak,81,WR,Indiana
1969,Jerry Rush,82,RDT,Michigan St.
1969,Joe Robb,84,LDE,TCU
1969,Craig Cotton,87,TE,Youngstown St.
1969,Charlie Sanders,88,TE,Minnesota
1969,John Wright,89,WR,Illinois
